ID,Title,URL,Content,Date,Type,Exclude,Vimeo URL,VIDEO URL,Embedded,Vimeo MP4 Link,Google Drive Link,Comments,,,Firebase Upload,Firebase Storage Upload,,Firebase Meta Data Upload,Firebase Storage Upload
400997,Corporate Social Innovation: Coming Up With A Good Idea,https://businessfightspoverty.org/corporate-social-innovation-coming-up-with-a-good-idea,"Part of a series supported by Barclays, Pearson and Cemex, produced by Be Inspired Films.",2018-01-18 13:33:09,Videos,,https://vimeo.com/248308247,https://drive.google.com/file/d/1JfqtufEfk1BeEp5ISy9f0med-iH1qM3o/view?usp=sharing,✅,https://player.vimeo.com/progressive_redirect/download/248308247/rendition/360p/know_how_for_social_innovation:_coming_up_with_a_good_idea%20%28360p%29.mp4?loc=external&signature=b561146f69065619c178e6fe7a1c622c10bc54c6a934b766f2925653be25b71c&user_id=2785798,https://drive.google.com/file/d/1JfqtufEfk1BeEp5ISy9f0med-iH1qM3o/view?usp=sharing,,Progress:,100.5%,uploaded,uploaded,Progress,100.00%,100.00%
400998,Corporate Social Innovation: Engaging Internal Stakeholders,https://businessfightspoverty.org/corporate-social-innovation-engaging-internal-stakeholders,"As part of our video series on know-how for corporate social innovation, Teodora Berkova, Director of Social Innovation at Pearson, shares her advice on how to engage internal stakeholders around your idea. The video series was supported by Barclays, Pearson and Cemex, and produced by Be Inspired Films.",2018-01-18 13:33:52,Videos,,https://vimeo.com/248309353,https://drive.google.com/file/d/1fmbOuPy96r1YMqEaYEPbOvGIyEALAR9T/view?usp=sharing,✅,https://player.vimeo.com/progressive_redirect/download/248309353/rendition/360p/know_how_for_social_innovation:_engaging_internal_stakeholders%20%28360p%29.mp4?loc=external&signature=3c19a336b79d5ae1e13398531eb0415f68cc8678192de398b06e13631320207c&user_id=2785798,https://drive.google.com/file/d/1fmbOuPy96r1YMqEaYEPbOvGIyEALAR9T/view?usp=sharing,,,,uploaded,uploaded,,,
401000,Corporate Social Innovation: Defining the Value Proposition,https://businessfightspoverty.org/corporate-social-innovation-defining-the-value-proposition,"Part of a series supported by Barclays, Pearson and Cemex, produced by Be Inspired Films.",2018-01-18 13:34:29,Videos,,https://vimeo.com/248309568,https://drive.google.com/file/d/1Ht13pg5rAKsZaAbAM6Gh6aRY_eX_uV-p/view?usp=sharing,✅,https://player.vimeo.com/progressive_redirect/download/248309568/rendition/360p/know_how_for_social_innovation:_defining_the_value_proposition%20%28360p%29.mp4?loc=external&signature=f2ebe134a56b50f7ce139e779d2e5fd775e261f58e1ba2b11b70f9e99c771979&user_id=2785798,https://drive.google.com/file/d/1Ht13pg5rAKsZaAbAM6Gh6aRY_eX_uV-p/view?usp=sharing,,,,uploaded,uploaded,,,
401001,Corporate Social Innovation: Financial Modelling,https://businessfightspoverty.org/corporate-social-innovation-financial-modelling,"Part of a series supported by Barclays, Pearson and Cemex, produced by Be Inspired Films.",2018-01-18 13:35:05,Videos,,https://vimeo.com/248309701,https://drive.google.com/file/d/1iLwU6mB1BoVAIRp_wpohjwE-uqRFy0iz/view?usp=sharing,✅,https://player.vimeo.com/progressive_redirect/download/248309701/rendition/360p/know_how_for_social_innovation:_financial_modeling%20%28360p%29.mp4?loc=external&signature=fdd8feb300de2556d920f1930578ae6b1c7cc9a65a7979c4160fbe38b9b7338b&user_id=2785798,https://drive.google.com/file/d/1iLwU6mB1BoVAIRp_wpohjwE-uqRFy0iz/view?usp=sharing,,,,uploaded,uploaded,,,
401002,"Corporate Social Innovation: Prototyping, Piloting and Iterating",https://businessfightspoverty.org/corporate-social-innovation-prototyping-piloting-and-iterating,"Part of a series supported by Barclays, Pearson and Cemex, produced by Be Inspired Films.",2018-01-18 13:35:32,Videos,,https://vimeo.com/248309897,https://drive.google.com/file/d/1ePJcmvJ8vhEesZqgUR5iiv2FKh8jgSSe/view?usp=sharing,✅,"https://player.vimeo.com/progressive_redirect/download/248309897/rendition/360p/know_how_for_social_innovation:_prototyping,_piloting_and_iterating%20%28360p%29.mp4?loc=external&signature=c917915477a8c92c38152bea8726605ca48ac7a993e9262cbde0d214ef5164d1&user_id=2785798",https://drive.google.com/file/d/1ePJcmvJ8vhEesZqgUR5iiv2FKh8jgSSe/view?usp=sharing,,,,uploaded,uploaded,,,
401003,Business Fights Poverty NYC 2017: Business Collaboration for the SDGs,https://businessfightspoverty.org/business-fights-poverty-nyc-2017-business-innovation-for-the-sdgs,"Panel Discussion at Business Fights Poverty NYC 2017. Hosted by Barclays, 19 September. Panellists: Mark Thain, Founder and Director, Social Innovation Facility, Barclays Kate James, ‎Chief Corporate Affairs and Global Marketing Officer, Pearson Daniel Epstein, Founder and CEO, Unreasonable Group Sue Adkins, International Director, Business in the Community Alix Zwane, Chief Executive Officer, Global Innovation Fund Moderator: Jane Nelson, Director, Corporate Responsibility Initiative, Harvard Kennedy School Video by Be Inspired Films.",2017-09-18 13:36:00,Videos,,https://vimeo.com/252781314,https://player.vimeo.com/progressive_redirect/download/252781314/container/9b5adb57-bf2e-4e6f-89bc-0b8823bcbc82/e0eaefc2/business_collaboration_for_the_sdgs%20%28360p%29.mp4?expires=1745965581&loc=external&signature=e72601d83edefae66b302165855cdc6ab161728c41abdc2a8b1d138f234cedd7&user_id=2785798,✅,https://player.vimeo.com/progressive_redirect/download/252781314/container/9b5adb57-bf2e-4e6f-89bc-0b8823bcbc82/e0eaefc2/business_collaboration_for_the_sdgs%20%28360p%29.mp4?expires=1749815104&loc=external&signature=7aff07b2f8c4ce89d261af472ffe19200f120f0a694fccab4075ffa9fc76d21d&user_id=2785798,https://drive.google.com/file/d/1L9O-_h0oqlZT1v9W-mlRpsvxF9PuwaD4/view?usp=sharing,,,,uploaded,uploaded,,,
401005,Business Fights Poverty NYC 2017: Business Innovation for the SDGs,https://businessfightspoverty.org/business-fights-poverty-nyc-2017-business-innovation-for-the-sdgs-2,"Panel Discussion at Business Fights Poverty NYC 2017. Hosted by Barclays, 19 September. Panellists: Mark Thain, Founder and Director, Social Innovation Facility, Barclays Kate James, ‎Chief Corporate Affairs and Global Marketing Officer, Pearson Daniel Epstein, Founder and CEO, Unreasonable Group Sue Adkins, International Director, Business in the Community Alix Zwane, Chief Executive Officer, Global Innovation Fund Moderator: Jane Nelson, Director, Corporate Responsibility Initiative, Harvard Kennedy School Video by Be Inspired Films.",2017-09-18 13:37:17,Videos,,https://vimeo.com/252778465,https://player.vimeo.com/progressive_redirect/download/252778465/container/8d9bc593-e0b1-49f5-972b-e2b16ba8452e/9d324eb8/business_innovation_for_the_sdgs%20%28360p%29.mp4?expires=1745966138&loc=external&signature=bf4cac1e3d548ac63cb346e5bdd5858361c54c8ded2c7c5e32cbf9732b1a14f7&user_id=2785798,✅,https://player.vimeo.com/progressive_redirect/download/252778465/container/8d9bc593-e0b1-49f5-972b-e2b16ba8452e/9d324eb8/business_innovation_for_the_sdgs%20%28360p%29.mp4?expires=1749814941&loc=external&signature=b430022e4430be963f815618b2be91cafc5556cf5e14f7d5b58957ccb4c824a3&user_id=2785798,https://drive.google.com/file/d/1L9O-_h0oqlZT1v9W-mlRpsvxF9PuwaD4/view?usp=sharing,,,,uploaded,uploaded,,,
401006,"Business Fights Poverty NYC 2017: Barbara Byrne, Barclays",https://businessfightspoverty.org/business-fights-poverty-nyc-2017-barbara-byrne-barclays,"Plenary Session of Business Fights Poverty NYC 2017. Hosted by Barclays, 18 September. Barbara Byrne, Vice Chairman, Investment Bank, Barclays Moderator: Graham Baxter, Business Fights Poverty Video by Be Inspired Films.",2017-09-18 13:37:44,Videos,,https://vimeo.com/252758940,https://drive.google.com/file/d/1-mH4WOnsYdj5ds_7EgY-KMzFAQQCZ9Lm/view?usp=sharing,✅,"https://player.vimeo.com/progressive_redirect/download/252758940/container/2fcd4ee6-e841-4a10-ae25-c82c3b77fa4f/c185113c/welcome_and_opening:_barbara_byrne,_barclays%20%28360p%29.mp4?expires=1749816299&loc=external&signature=da4d77a6467c0cb1a81be1aec96554fcf8a4778d0748c9a452a060fdb36ef074&user_id=2785798",https://drive.google.com/file/d/1-mH4WOnsYdj5ds_7EgY-KMzFAQQCZ9Lm/view?usp=sharing,,,,uploaded,uploaded,,,
401007,"Business Fights Poverty NYC 2017: Rogerio Ribeiro, GSK",https://businessfightspoverty.org/business-fights-poverty-nyc-2017-rogerio-ribeiro-gsk,"Plenary Session of Business Fights Poverty NYC 2017. Hosted by Barclays, 18 September. ​​​​​​​Rogerio Ribeiro, Area Head &amp; SVP, Emerging Markets, GSK Moderator: Graham Baxter, Business Fights Poverty Video by Be Inspired Films.",2017-09-18 13:38:21,Videos,,https://vimeo.com/252754893,https://drive.google.com/file/d/1wLUCx-EUlgzGHoR2hVHwy59L2NKhmBst/view?usp=sharing,✅,"https://player.vimeo.com/progressive_redirect/download/252754893/rendition/360p/opening_and_welcome:_rogerio_ribeiro,_gsk%20%28360p%29.mp4?loc=external&signature=7f5599c392940c39596141a03bcf9a9b89c637bc5ed24e891ebad402430fb19f&user_id=2785798",https://drive.google.com/file/d/1wLUCx-EUlgzGHoR2hVHwy59L2NKhmBst/view?usp=sharing,,,,uploaded,uploaded,,,
401009,Business Fights Poverty NYC 2017: Rt Hon Alistair Burt MP,https://businessfightspoverty.org/business-fights-poverty-nyc-2017-rt-hon-alistair-burt-mp,"Plenary Session of Business Fights Poverty NYC 2017. Hosted by Barclays, 18 September. Rt Hon Alistair Burt MP, Minister of State at the UK Department for International Development and the Foreign &amp; Commonwealth Office Moderator: Graham Baxter, Business Fights Poverty Video by Be Inspired Films.",2017-09-18 13:39:03,Videos,,https://vimeo.com/252753752,https://drive.google.com/file/d/1M6CnobgV3S2uSPoLBtQ9IvxSrMePunXi/view?usp=sharing,✅,https://player.vimeo.com/progressive_redirect/download/252753752/rendition/360p/opening_and_welcome:__rt_hon_alistair_burt_mp%20%28360p%29.mp4?loc=external&signature=edf33b894ed18325f9cefef5d9f508fca8e41486a4d5dbdf88476815e594b636&user_id=2785798,https://drive.google.com/file/d/1M6CnobgV3S2uSPoLBtQ9IvxSrMePunXi/view?usp=sharing,,,,uploaded,uploaded,,,
